车名,官方指导价,17.99万,17.99万,20.99万,20.99万,24.69万,24.69万,17.49万,17.49万,20.69万,20.69万,18.69万,18.69万,19.59万,19.59万,21.19万,21.19万,22.69万,22.69万,25.39万,25.39万
迈腾 2024款 300TSI 尊享型,,,,,,,,,,,,,,,,,,,,,
迈腾 2024款 380TSI 尊贵版,,,,,,,,,,,,,,,,,,,,,
迈腾 2024款 380TSI 至尊版,,,,,,,,,,,,,,,,,,,,,
迈腾 2024款 200万辆众享款 280TSI DSG舒适众享款,,,,,,,,,,,,,,,,,,,,,
迈腾 2024款 200万辆众享款 330TSI DSG豪华众享款,,,,,,,,,,,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 280TSI DSG舒适型,,,,,,,,,,,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 280TSI DSG领先型,,,,,,,,,,,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 330TSI DSG领先型,,,,,,,,,,,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 330TSI DSG豪华型,,,,,,,,,,,,,,,,,,,,,
迈腾 2023款 200万辆纪念版 380TSI DSG旗舰型,,,,,,,,,,,,,,,,,,,,,
